date,new_neg,new_pos,pr100_pos,new_total,total_neg,total_pos,total,source
2021-06-10,16664,202,1.2,16866,5740064,122837,5862901,fhi:git
2021-06-11,16234,154,0.9,16388,5756298,122991,5879289,fhi:git
2021-06-12,7882,130,1.6,8012,5764180,123121,5887301,fhi:git
2021-06-13,7966,111,1.4,8077,5772146,123232,5895378,fhi:git
2021-06-14,21517,207,1.0,21724,5793663,123439,5917102,fhi:git
2021-06-15,17780,194,1.1,17974,5811443,123633,5935076,fhi:git
2021-06-16,17779,215,1.2,17994,5829222,123848,5953070,fhi:git
2021-06-17,17438,197,1.1,17635,5846660,124045,5970705,fhi:git
2021-06-18,16308,172,1.0,16480,5862968,124217,5987185,fhi:git
2021-06-19,9319,153,1.6,9472,5872287,124370,5996657,fhi:git
2021-06-20,8574,115,1.3,8689,5880861,124485,6005346,fhi:git
2021-06-21,19473,205,1.0,19678,5900334,124690,6025024,fhi:git
2021-06-22,16064,266,1.6,16330,5916398,124956,6041354,fhi:git
2021-06-23,16429,240,1.4,16669,5932827,125196,6058023,fhi:git
2021-06-24,16805,174,1.0,16979,5949632,125370,6075002,fhi:git
2021-06-25,16142,175,1.1,16317,5965774,125545,6091319,fhi:git
2021-06-26,7666,106,1.4,7772,5973440,125651,6099091,fhi:git
2021-06-27,8066,107,1.3,8173,5981506,125758,6107264,fhi:git
2021-06-28,19534,226,1.1,19760,6001040,125984,6127024,fhi:git
2021-06-29,15949,213,1.3,16162,6016989,126197,6143186,fhi:git
2021-06-30,17986,260,1.4,18246,6034975,126457,6161432,fhi:git
2021-07-01,17654,196,1.1,17850,6052629,126653,6179282,fhi:git
2021-07-02,15819,186,1.2,16005,6068448,126839,6195287,fhi:git
2021-07-03,7922,99,1.2,8021,6076370,126938,6203308,fhi:git
2021-07-04,7875,123,1.5,7998,6084245,127061,6211306,fhi:git
2021-07-05,17448,207,1.2,17655,6101693,127268,6228961,fhi:git
2021-07-06,13967,200,1.4,14167,6115660,127468,6243128,fhi:git
2021-07-07,15820,203,1.3,16023,6131480,127671,6259151,fhi:git
2021-07-08,16260,181,1.1,16441,6147740,127852,6275592,fhi:git
2021-07-09,14387,175,1.2,14562,6162127,128027,6290154,fhi:git
2021-07-10,7131,108,1.5,7239,6169258,128135,6297393,fhi:git
2021-07-11,6725,101,1.5,6826,6175983,128236,6304219,fhi:git
2021-07-12,14358,186,1.3,14544,6190341,128422,6318763,fhi:git
2021-07-13,11973,145,1.2,12118,6202314,128567,6330881,fhi:git
2021-07-14,12577,183,1.4,12760,6214891,128750,6343641,fhi:git
2021-07-15,12333,186,1.5,12519,6227224,128936,6356160,fhi:git
2021-07-16,11596,220,1.9,11816,6238820,129156,6367976,fhi:git
2021-07-17,6502,111,1.7,6613,6245322,129267,6374589,fhi:git
2021-07-18,6748,141,2.0,6889,6252070,129408,6381478,fhi:git
2021-07-19,13938,206,1.5,14144,6266008,129614,6395622,fhi:git
2021-07-20,5294,54,1.0,5348,6271302,129668,6400970,fhi:git
