tr_type,route,company,tr_from,tr_to,departure,arrival,source
Tog,50,GoAhead,Stavanger,Oslo S,2021-08-13 12:47:00,2021-08-13 20:25:00,fhi:web
Fly,DY311,Norwegian,Kirkenes,Oslo,2021-08-13 12:00:00,2021-08-13 12:55:00,fhi:web
Fly,LH860,Lufthansa,Frankfurt,Oslo,2021-08-13 11:55:00,2021-08-13 12:21:00,fhi:web
Fly,SK6354,SAS,Malaga,Oslo,2021-08-13 11:20:00,2021-08-13 11:35:00,fhi:web
Fly,PC1273,Pegasus Airlines,Istanbul,Oslo,2021-08-13 10:40:00,2021-08-13 13:35:00,fhi:web
Fly,SK255,SAS,Oslo,Bergen,2021-08-13 09:00:00,2021-08-13 09:50:00,fhi:web
Fly,LH1343,Lufthansa,Budapest,Frankfurt,2021-08-13 06:30:00,2021-08-13 08:15:00,fhi:web
Fly,LH864/SK3644,Lufhansa/SAS,Frankfurt,Oslo,2021-08-12 21:30:00,2021-08-12 23:25:00,fhi:web
Fly,SK268,SAS,Bergen,Oslo,2021-08-12 14:10:00,2021-08-14 15:00:00,fhi:web
Skip,Color Fantasy,ColorLine,Kiel,Oslo,2021-08-12 14:00:00,2021-08-13 10:00:00,fhi:web
Fly,TK1753,Turkish Airlines,Istanbul,Oslo,2021-08-12 13:35:00,2021-08-12 16:30:00,fhi:web
Fly,SK4159,SAS,Stavanger,Bergen,2021-08-12 13:00:00,2021-08-12 13:35:00,fhi:web
Fly,W61515,Wizz Air,Warszawa,Oslo,2021-08-12 12:40:00,2021-08-12 14:35:00,fhi:web
Fly,KL1217,KLM,Amsterdam,Oslo,2021-08-12 12:20:00,2021-08-12 13:55:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-08-12 11:20:00,2021-08-12 15:20:00,fhi:web
Fly,DY1991,Norwegian,Split,Oslo,2021-08-12 10:40:00,2021-08-12 13:30:00,fhi:web
Fly,DY320,Norwegian,Oslo,Alta,2021-08-12 10:40:00,2021-08-12 12:40:00,fhi:web
Fly,LH860,Lufthansa,Frankfurt,Oslo,2021-08-12 10:00:00,2021-08-12 11:55:00,fhi:web
Tog,2384,SJ Nord,Trondheim,Hamar,2021-08-12 09:28:00,2021-08-12 15:45:00,fhi:web
Fly,KL1143,KLM,Amsterdam,Oslo,2021-08-12 09:20:00,2021-08-12 11:05:00,fhi:web
Tog,2381,SJ Nord,Hamar,Røros,2021-08-12 08:10:00,2021-08-12 11:30:00,fhi:web
Fly,WF405,Widerøe,Bergen,Sandefjord,2021-08-12 07:40:00,2021-08-12 08:30:00,fhi:web
